Wed Jun  1 19:58:27 2022    hell/764cff94-cb38-4084-930a-38b345d600cf.prof

         44865 function calls (44427 primitive calls) in 0.714 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:470(_handle_binary_attributes)
        6    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/ssl.py:1023(sendall)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:423(__contains__)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:59(parsestr)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:52(normcase)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:411(update_auto_headers)
        6    0.000    0.000    0.002    0.000 /opt/python/pynamodb_patch.py:120(_patched_convert_to_request_dict)
        3    0.000    0.000    0.006    0.002 /opt/python/pynamodb/models.py:569(query)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:564(get_content_type)
       18    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1368(info)
        3    0.000    0.000    0.000    0.000 /opt/python/rsa/key.py:171(unblind)
       22    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:335(notify)
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:531(__new__)
       42    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
      273    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/concurrent/futures/thread.py:145(submit)
       16    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:72(cancel)
       11    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:154(cancel)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:139(__init__)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:216(__init__)
        3    0.000    0.000    0.006    0.002 /opt/python/rsa/key.py:156(blind)
       42    0.000    0.000    0.000    0.000 <attrs generated hash aiohttp.client_reqrep.ConnectionKey>:1(__hash__)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1158(_importer)
       26    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:776(_read_ready)
       23    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:235(feed_data)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:531(__set_side_effect)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb_patch.py:38(__init__)
       12    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:261(signed_headers)
       12    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:364(urlparse)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        9    0.000    0.000    0.000    0.000 /opt/python/aiohttp/cookiejar.py:104(_do_expiration)
        2    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_proto.py:71(connection_lost)
