Wed Jun  1 19:58:28 2022    hell/87ee9e9d-3045-4347-be69-451e25a12ac5.prof

         44700 function calls (44262 primitive calls) in 0.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:622(_on_handshake_complete)
       28    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:95(serialization)
       12    0.000    0.000    0.015    0.001 /opt/python/botocore/awsrequest.py:338(prepare)
       28    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:303(<listcomp>)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:121(splitext)
       11    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:281(_set_attributes)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:434(__init__)
       21    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:157(hostname)
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:531(__new__)
      111    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       20    0.000    0.000    0.000    0.000 /opt/python/dateutil/tz/_factories.py:13(__call__)
        2    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_proto.py:71(connection_lost)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:98(_ipaddr_info)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:665(call_at)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:139(__init__)
       60    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:78(readline)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/functools.py:37(update_wrapper)
       42    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       12    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:364(urlparse)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:216(__init__)
       23    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:235(feed_data)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:470(_handle_binary_attributes)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/utils.py:765(datetime2timestamp)
       13    0.000    0.000    0.000    0.000 {built-in method now}
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:59(parsestr)
        3    0.000    0.000    0.000    0.000 {method 'splitlines' of 'bytes' objects}
       14    0.000    0.000    0.000    0.000 /opt/python/config_file.py:83(_should_update)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1158(_importer)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb_patch.py:38(__init__)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:423(__contains__)
        6    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
