Wed Jun  1 19:11:00 2022    hell/123.prof

         51934 function calls (51370 primitive calls) in 1.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:289(__call__)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
        1    0.000    0.000    0.832    0.832 /opt/python/rewards/reward_redeemer.py:243(redeem_rewards_for_player)
       77    0.000    0.000    0.015    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       74    0.000    0.000    0.000    0.000 {method 'copy' of 'collections.OrderedDict' objects}
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/util.py:11(substitute_names)
        6    0.000    0.000    0.178    0.030 /opt/python/pynamodb/connection/base.py:323(dispatch)
        7    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
       78    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
      201    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:397(create_task)
       12    0.000    0.000    0.056    0.005 /opt/python/aiohttp/connector.py:977(_create_direct_connection)
       12    0.000    0.000    0.013    0.001 /var/lang/lib/python3.7/asyncio/sslproto.py:661(_process_write_backlog)
      104    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
        3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:495(_decodeComponents)
       53    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:193(_hostinfo)
       70    0.000    0.000    0.014    0.000 /var/runtime/bootstrap.py:256(write)
       73    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:112(_coerce_args)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
      113    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:634(time)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:486(readinto)
      286    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
        7    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:480(read)
       82    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:183(dumps)
       75    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
       55    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.002    0.000 /opt/python/botocore/auth.py:299(canonical_request)
       11    0.000    0.000    0.011    0.001 /opt/python/pynamodb/indexes.py:134(_get_schema)
      110    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
       37    0.000    0.000    0.000    0.000 {method 'update' of 'collections.OrderedDict' objects}
      337    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      452    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       14    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:354(_prepare_headers)
      421    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
       55    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:293(header_source_parse)
       69    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:681(call_soon)
        7    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
       70    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.056    0.005 /opt/python/aiohttp/connector.py:485(connect)
       39    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:299(loads)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
        6    0.000    0.000    0.005    0.001 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
       35    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:165(_sign)
       18    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:265(_set_defaults)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:194(__init__)
      162    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:304(_set)
        6    0.000    0.000    0.013    0.002 /opt/python/aiohttp/client.py:947(close)
       34    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       29    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
      122    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:614(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
      323    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.105    0.105 /opt/python/analytics/messages.py:83(send_messages)
       12    0.000    0.000    0.013    0.001 /var/lang/lib/python3.7/asyncio/selector_events.py:850(write)
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/typing.py:814(__new__)
        7    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/ssl.py:1023(sendall)
